id_caserne,no_caserne,adresse,nom_ssi,coord_x,coord_y
"839","2","575, rue Bellerive, Mont-Laurier J9L1X5",SSI Mont-Laurier,-75.4964501605689,46.5538854184609
"846","11","242, 6e Avenue, Ferme-Neuve J0W1C0",SSI Ferme-Neuve,-75.4562302069976,46.7016078120042
"851","13","68 rue du pont, Mont-Saint-Michel J0W1P0",SSI Mont-Saint-Michel,-75.3380179085292,46.7785988717982
"925","9","84, rue Notre-Dame, Notre-Dame-du-Laus J0X2M0",SSI Notre-Dame-du-Laus,-75.620875600858,46.0879960194905
"674","1","255, 5e Avenue, Sainte-Anne-des-Plaines J0N1H0",SSI Sainte-Anne-des-Plaines,-73.8042511924555,45.7612302229936
"845","5","12, chemin Tranquille, Chute-St-Philippe J0W1A0",SSI Rivière Kiamika,-75.2457468457898,46.6531426993274
"619",55 - AG,27 rue Principale Ange-Gardien Ange-Gardien J0E1E0,SSI Ange-Gardien,-72.9308513175894,45.3756321134167
"239","52",105 Boulevard Gagné Sorel-Tracy J3P7K1,SSI Sorel-Tracy,-73.1137116103193,46.0466953593874
"606","1",935 Rue Dessaulles Saint-Hyacinthe J2S3C4,SSI Saint-Hyacinthe,-72.9444058647603,45.6281918181033
"941","17","  59, chemin de l'Aéroport, La Macaza J0T1R0",RISI Vallée de la Rouge,-74.7852452973414,46.3982170359028
"1269","7",11 Rue de la Caserne Saint-Marc-de-Figuery J0Y1J0,SSI Saint-Marc-de-Figuery,-78.0451477294947,48.4722383189322
"1006","85","19, Marquette  Baie-Comeau G4Z1K5",SSI Baie-Comeau,-68.1495552950565,49.2209009045141
"1262","2","2023, avenue Champlain, shawinigan, Qc. G9N 8A9",SSI Shawinigan,-72.7435121472332,46.5542550334037
"1061","8","50, chemin du Centenaire, Notre-Dame-de-Pontmain J0W1S0",SSI Notre-Dame-de-Pontmain,-75.6386905725478,46.2834767050787
"1070",05 - SAW,629 St. Augustin Woburn Saint-Augustin-de-Woburn G0Y1R0,SSI Saint-Augustin-de-Woburn,-70.8605633652399,45.3839827591878
"505","50",3025 Boulevard Tracy Sorel-Tracy J3R1C2,SSI Sorel-Tracy,-73.1495170582835,46.0157576715327
"999","74","1, 2e avenue Forestville Forestville G0T1E0",SSI Forestville,-69.0766859627791,48.7383580257292
"1014","68","101, rue Gagné Sacré-Coeur Sacré-Coeur G0T1Y0",SSI Sacré-Coeur,-69.79440718983,48.2300447568486
"1264","58","333 chemin Gosford, Inverness, Qc. G0S 1K0",SSI MRC L'Érable (AR320),-71.5230778243815,46.2593993814517
"991","81","507, route 138 Ragueneau  G0H1S0",SSI Chutes-aux-Outardes,-68.4640853689614,49.0740361509658
"1120","65","155 rue Charest, Lyster, Qc. G0S1V0",SSI MRC L'Érable (AR320),-71.609609741524,46.3726076187112
"1265","80","842 Ancienne route de l'église, Notre-Dame-de-Lourdes, Qc. G0S 1T0",SSI MRC L'Érable (AR320),-71.8197016831388,46.3308562697304
"1266","33","101 rue Demers Est, Princeville, Qc.  G6L 4Z4",SSI Princeville,-71.8779505930022,46.1769996267956
"992","82","471, Chemin principal  Pointe-aux-Outardes G0H1H0",SSI Chutes-aux-Outardes,-68.4013101587445,49.0799012287369
"995","83","2, rue du parc  Chute-aux-Outardes G0H1C0",SSI Chutes-aux-Outardes,-68.3885911605286,49.1237498526066
"988","80","365, Rue Granier Pointe-Lebel G0H1N0",SSI Pointe-Lebel,-68.2506133952876,49.1614081511548
"1000","84","1300, boul. Blanche  Baie-Comeau G5C2X2",SSI Baie-Comeau,-68.2614230047358,49.1983294650694
"1268","1",6 Rue des Rapides Preissac J0Y2E0,SSI Preissac,-78.3654154752223,48.4070853609987
"986","88","28, route 138 Baie-Trinité Baie-Trinité G0H1A0",SSI Baie-Trinité,-67.300651501433,49.4224022259588
